,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,TotCases1Mpop,Deaths1Mpop,TotalTests,Tests1Mpop,Population,Continent
206,204.0,Suriname,11,0,1,0,9,1,0,19,2,488,833,586092,SouthAmerica
207,203.0,Montserrat,11,0,1,0,10,0,0,2204,200,36,7212,4992,NorthAmerica
208,207.0,WesternSahara,9,0,0,0,6,3,0,15,0,0,0,595704,Africa
209,206.0,MSZaandam,9,0,2,0,0,7,0,0,0,0,0,0,0
210,208.0,BritishVirginIslands,8,0,1,0,6,1,0,265,33,167,5528,30211,NorthAmerica
211,209.0,PapuaNewGuinea,8,0,0,0,8,0,0,0,0,2402,269,8928690,Australia/Oceania
212,210.0,CaribbeanNetherlands,6,0,0,0,6,0,0,229,0,424,16184,26198,NorthAmerica
213,211.0,St.Barth,6,0,0,0,6,0,0,608,0,137,13875,9874,NorthAmerica
214,212.0,Anguilla,3,0,0,0,3,0,0,200,0,30,2001,14989,NorthAmerica
215,213.0,Lesotho,2,0,0,0,0,2,0,0,0,283,132,2140514,Africa
216,214.0,SaintPierreMiquelon,1,0,0,0,1,0,0,173,0,0,0,5797,NorthAmerica
